time,R_est,theta_deg,Q_F,Q_L,Q_R,chosen_action,chosen_action_name,front_state,front_min_depth_m,front_invalid_ratio,left_depth,center_depth,right_depth,left_invalid_ratio,center_invalid_ratio,right_invalid_ratio,left_danger,center_danger,right_danger,target_visible,target_like_front_object,depth_avoidance_active,disable_avoidance_near_target,ignore_invalids_near_target,s_forward_step,dpsi_step_deg,reward
1778602483.9844835,5.145406,12.201993,8.008183,8.1506405,7.9819922,1,L,SAFE,1.441,0.20241608796296295,0.88,0.884,0.866,0.30059174491392804,0.291299882629108,0.3576470015576324,0.19538463419405327,0.2268196711836677,0.23803873283064292,1,0,0,0,0,0.0015937835901138461,0.0,0.15694069147109985
1778602484.2160094,4.9768047,21.876884,10.071332,10.202301,10.231801,2,R,SAFE,1.579,0.17177372685185185,0.874,0.897,0.884,0.2934027777777778,0.2949677230046948,0.32019080996884736,0.19309816919191924,0.22460780783183953,0.20812402647975078,1,0,0,0,0,0.0005976688462926924,0.0,0.13173975467681892
1778602484.4256117,5.039075,19.910858,10.212484,10.094795,10.297177,2,R,SAFE,1.414,0.18271122685185184,0.884,0.885,0.885,0.29508998435054773,0.266089593114241,0.35168419003115264,0.19180848982785603,0.21007944764546882,0.22859472352024923,1,0,0,0,0,0.0,0.0,-0.17611261606216433
1778602484.6092057,5.1348534,12.059626,10.432178,10.309711,10.522443,2,R,SAFE,1.414,0.21157407407407408,0.873,0.871,0.85,0.3091255868544601,0.3344336854460094,0.3638288551401869,0.20371572236449004,0.2594526026106132,0.24842057402293974,1,0,0,0,0,0.0005976688462926926,0.0,-0.18766019105911255
1778602484.8084342,5.172772,3.2125156,10.016521,10.173257,10.196038,2,R,SAFE,1.403,0.20675636574074074,0.88,0.873,0.847,0.3248483959311424,0.31584996087636935,0.3467679127725857,0.21115145735524263,0.2466661109332765,0.23852414330218075,0,0,0,0,0,-0.0003984458975284616,0.028005347925869728,-0.2901535749435425
1778602485.018917,5.185257,-1.0503216,7.1620445,7.5066805,7.224186,1,L,SAFE,1.721,0.21608796296296295,0.871,0.87,0.857,0.35722320031298904,0.330741392801252,0.31140478971962615,0.23577462565798837,0.25740614774505627,0.21156084059048433,0,0,0,0,0,0.0001992229487642308,0.0,-0.21155394315719603
1778602485.2680306,5.233941,-3.8874166,7.3382635,7.42294,7.1985855,1,L,SAFE,1.634,0.2175491898148148,0.876,0.873,0.852,0.3723347026604069,0.3268779342723005,0.28088492990654207,0.24360846582017365,0.2538342936406317,0.19371156807561604,1,0,0,0,0,-0.0001992229487642308,0.0,-0.3259772300720215
1778602485.4634986,5.1493382,2.6091204,10.328041,10.244749,9.9868555,0,F,SAFE,1.406,0.20613425925925927,0.879,0.876,0.873,0.3140649452269171,0.31536091549295775,0.35587032710280375,0.20453994167022344,0.2452876253734529,0.2340998035259134,1,0,0,0,0,0.002589898333935,-0.012653559102574263,1.3306485533714296
1778602485.6819787,5.152616,4.340946,10.319889,10.277525,10.115211,0,F,SAFE,1.499,0.20455729166666667,0.883,0.875,0.874,0.3045041079812207,0.2956768388106416,0.3568438473520249,0.19792767018779345,0.23284651088348274,0.23433486441517987,0,0,0,0,0,0.004781350770341539,0.0,1.061326837539673
1778602485.957941,5.1419783,6.4344993,7.2652445,7.633252,7.336529,1,L,SAFE,1.47,0.21925636574074073,0.876,0.852,0.87,0.312964593114241,0.31010367762128327,0.34319022585669784,0.2050178946151658,0.2503552692417129,0.22705091953412637,0,0,0,0,0,0.003984458975284616,0.0,-0.1516809582710266
1778602486.2185764,5.012322,15.9851675,7.129048,7.5681677,7.305783,1,L,SAFE,1.586,0.1865740740740741,0.879,0.893,0.883,0.26904831768388104,0.29543231611893583,0.3682340342679128,0.17527913376725002,0.22632393477023763,0.23935212227414332,1,0,0,0,0,0.0029883442314634625,0.0,0.1250904822349549
